"nome_cientifico";"familia";"status"
"Senecio gertii";"Asteraceae";"EN"
"Senecio graciellae";"Asteraceae";"EN"
"Senecio hatschbachii";"Asteraceae";"EN"
"Senecio heteroschizus";"Asteraceae";"EN"
"Senecio langei";"Asteraceae";"VU"
"Senecio promatensis";"Asteraceae";"CR"
"Senecio ramboanus";"Asteraceae";"EN"
"Senecio ramentaceus";"Asteraceae";"VU"
"Senecio riograndensis";"Asteraceae";"EN"
"Smallanthus araucariophilus";"Asteraceae";"CR"
"Smallanthus riograndensis";"Asteraceae";"EN"
"Stevia catharinensis";"Asteraceae";"EN"
"Stevia hilarii";"Asteraceae";"CR"
"Stevia leptophylla";"Asteraceae";"EN"
"Stevia organensis";"Asteraceae";"EN"
"Stevia riedelli";"Asteraceae";"EN"
"Stevia selloi";"Asteraceae";"VU"
"Steyermarkina dispalata";"Asteraceae";"VU"
"Stifftia fruticosa";"Asteraceae";"VU"
"Stilpnopappus semirianus";"Asteraceae";"EN"
"Stilpnopappus suffruticosus";"Asteraceae";"CR"
"Stomatanthes loefgrenii";"Asteraceae";"CR"
"Strophopappus bicolor";"Asteraceae";"EN"
"Strophopappus ferrugineus";"Asteraceae";"EN"
"Stylotrichium corymbosum";"Asteraceae";"EN"
"Stylotrichium edmundoi";"Asteraceae";"EN"
"Stylotrichium glomeratum";"Asteraceae";"CR"
"Stylotrichium sucrei";"Asteraceae";"EN"
"Symphyopappus uncinatus";"Asteraceae";"EN"
"Trichocline linearifolia";"Asteraceae";"VU"
"Trichogoniopsis podocarpa";"Asteraceae";"EN"
"Trixis glaziovii";"Asteraceae";"VU"
"Trixis pallida";"Asteraceae";"CR"
"Vernonanthura fagifolia";"Asteraceae";"VU"
"Vernonanthura spathulata";"Asteraceae";"CR"
"Vickia rotundifolia";"Asteraceae";"VU"
"Wedelia macedoi";"Asteraceae";"CR"
"Wunderlichia azulensis";"Asteraceae";"VU"
"Wunderlichia insignis";"Asteraceae";"EN"
"Wunderlichia senae";"Asteraceae";"EN"
"Begonia albidula";"Begoniaceae";"EN"
"Begonia altamiroi";"Begoniaceae";"EN"
"Begonia apparicioi";"Begoniaceae";"EN"
"Begonia bahiensis";"Begoniaceae";"EN"
"Begonia besleriifolia";"Begoniaceae";"EN"
"Begonia bonitoensis";"Begoniaceae";"CR"
"Begonia coccinea";"Begoniaceae";"EN"
"Begonia collaris";"Begoniaceae";"EN"
"Begonia concinna";"Begoniaceae";"EN"
"Begonia crispula";"Begoniaceae";"CR"
"Begonia curtii";"Begoniaceae";"VU"
"Begonia densifolia";"Begoniaceae";"EN"
"Begonia dentatiloba";"Begoniaceae";"EN"
"Begonia depauperata";"Begoniaceae";"EN"
"Begonia edmundoi";"Begoniaceae";"EN"
"Begonia epipsila";"Begoniaceae";"EN"
"Begonia espiritosantensis";"Begoniaceae";"EN"
"Begonia friburgensis";"Begoniaceae";"EN"
"Begonia handroi";"Begoniaceae";"EN"
"Begonia ibitiocensis";"Begoniaceae";"EN"
"Begonia inconspicua";"Begoniaceae";"CR"
"Begonia itaguassuensis";"Begoniaceae";"EN"
"Begonia itatinensis";"Begoniaceae";"EN"
"Begonia jocelinoi";"Begoniaceae";"CR"
"Begonia jureiensis";"Begoniaceae";"CR"
"Begonia kuhlmannii";"Begoniaceae";"EN"
"Begonia lanstyakii";"Begoniaceae";"CR"
"Begonia larorum";"Begoniaceae";"CR"
"Begonia lunaris";"Begoniaceae";"EN"
"Begonia olsoniae";"Begoniaceae";"VU"
"Begonia organensis";"Begoniaceae";"EN"
"Begonia paranaensis";"Begoniaceae";"EN"
"Begonia paulensis";"Begoniaceae";"EN"
"Begonia perdusenii";"Begoniaceae";"EN"
"Begonia piresiana";"Begoniaceae";"CR"
"Begonia pluvialis";"Begoniaceae";"EN"
"Begonia polygonifolia";"Begoniaceae";"EN"
"Begonia ramentacea";"Begoniaceae";"VU"
"Begonia rubropilosa";"Begoniaceae";"CR"
"Begonia ruschii";"Begoniaceae";"CR"
"Begonia salesopolensis";"Begoniaceae";"CR"
"Begonia sanguinea";"Begoniaceae";"VU"
"Begonia santoslimae";"Begoniaceae";"EN"
"Begonia scharffii";"Begoniaceae";"CR"
"Begonia semidigitata";"Begoniaceae";"EN"
"Begonia stenolepis";"Begoniaceae";"EN"
"Begonia sylvatica";"Begoniaceae";"EN"
"Begonia sylvestris";"Begoniaceae";"EN"
"Begonia toledoana";"Begoniaceae";"EN"
"Begonia tomentosa";"Begoniaceae";"VU"
"Begonia undulata";"Begoniaceae";"EN"
"Begonia venosa";"Begoniaceae";"CR"
"Begonia vicina";"Begoniaceae";"EN"
"Berberis campos-portoi";"Berberidaceae";"CR"
"Adenocalymma dichilum";"Bignoniaceae";"EN"
"Adenocalymma ubatubense";"Bignoniaceae";"CR"
"Anemopaegma arvense";"Bignoniaceae";"EN"
"Anemopaegma mirabile";"Bignoniaceae";"CR"
"Bignonia costata";"Bignoniaceae";"VU"
"Fridericia crassa";"Bignoniaceae";"VU"
"Fridericia elegans";"Bignoniaceae";"EN"
"Handroanthus arianeae";"Bignoniaceae";"EN"
"Handroanthus botelhensis";"Bignoniaceae";"EN"
"Handroanthus cristatus";"Bignoniaceae";"EN"
"Handroanthus grandiflorus";"Bignoniaceae";"CR"
"Handroanthus riodocensis";"Bignoniaceae";"EN"
"Handroanthus spongiosus";"Bignoniaceae";"EN"
"Jacaranda crassifolia";"Bignoniaceae";"EN"
"Jacaranda egleri";"Bignoniaceae";"CR"
"Jacaranda grandifoliolata";"Bignoniaceae";"EN"
"Jacaranda microcalyx";"Bignoniaceae";"EN"
"Jacaranda rugosa";"Bignoniaceae";"EN"
"Paratecoma peroba";"Bignoniaceae";"EN"
"Pleonotoma bracteata";"Bignoniaceae";"VU"
"Sparattosperma catingae";"Bignoniaceae";"EN"
"Tabebuia cassinoides";"Bignoniaceae";"VU"
"Tabebuia nodosa";"Bignoniaceae";"EN"
"Austroblechnum andinum";"Blechnaceae";"CR"
"Austroblechnum squamipes";"Blechnaceae";"EN"
"Blechnum heringeri";"Blechnaceae";"VU"
"Cranfillia caudata";"Blechnaceae";"VU"
"Cordia blanchetii";"Boraginaceae";"EN"
"Cordia candida";"Boraginaceae";"EN"
"Cordia fusca";"Boraginaceae";"EN"
"Cordia gardneri";"Boraginaceae";"EN"
"Cordia hatschbachii";"Boraginaceae";"VU"
"Cordia latiloba";"Boraginaceae";"EN"
"Cordia ochnacea";"Boraginaceae";"EN"
"Cordia restingae";"Boraginaceae";"EN"
"Cordia ulei";"Boraginaceae";"EN"
"Aechmea alopecurus";"Bromeliaceae";"EN"
"Aechmea amicorum";"Bromeliaceae";"EN"
"Aechmea apocalyptica";"Bromeliaceae";"VU"
"Aechmea azurea";"Bromeliaceae";"VU"
"Aechmea bambusoides";"Bromeliaceae";"VU"
"Aechmea caesia";"Bromeliaceae";"EN"
"Aechmea cariocae";"Bromeliaceae";"EN"
"Aechmea castanea";"Bromeliaceae";"EN"
"Aechmea echinata";"Bromeliaceae";"EN"
"Aechmea fasciata";"Bromeliaceae";"VU"
"Aechmea fosteriana";"Bromeliaceae";"EN"
"Aechmea kertesziae";"Bromeliaceae";"EN"
"Aechmea kleinii";"Bromeliaceae";"EN"
"Aechmea macrochlamys";"Bromeliaceae";"EN"
"Aechmea marginalis";"Bromeliaceae";"CR"
"Aechmea muricata";"Bromeliaceae";"EN"
"Aechmea mutica";"Bromeliaceae";"EN"
"Aechmea orlandiana";"Bromeliaceae";"CR"
"Aechmea sphaerocephala";"Bromeliaceae";"EN"
"Aechmea triangularis";"Bromeliaceae";"EN"
"Aechmea vanhoutteana";"Bromeliaceae";"VU"
"Aechmea werdermannii";"Bromeliaceae";"EN"
"Aechmea winkleri";"Bromeliaceae";"CR"
"Alcantarea benzingii";"Bromeliaceae";"CR"
"Alcantarea duarteana";"Bromeliaceae";"EN"
"Alcantarea farneyi";"Bromeliaceae";"CR"
"Alcantarea geniculata";"Bromeliaceae";"EN"
"Alcantarea glaziouana";"Bromeliaceae";"EN"
"Alcantarea heloisae";"Bromeliaceae";"EN"
"Alcantarea imperialis";"Bromeliaceae";"VU"
"Alcantarea martinellii";"Bromeliaceae";"VU"
"Alcantarea nahoumii";"Bromeliaceae";"VU"
"Alcantarea nevaresii";"Bromeliaceae";"VU"
"Alcantarea tortuosa";"Bromeliaceae";"VU"
"Alcantarea vinicolor";"Bromeliaceae";"EN"
"Araeococcus montanus";"Bromeliaceae";"EN"
"Billbergia brasiliensis";"Bromeliaceae";"EN"
"Bromelia braunii";"Bromeliaceae";"CR"
"Canistropsis albiflora";"Bromeliaceae";"VU"
"Canistropsis elata";"Bromeliaceae";"CR"
"Canistropsis marceloi";"Bromeliaceae";"VU"
"Canistropsis pulcherrima";"Bromeliaceae";"EN"
"Canistrum alagoanum";"Bromeliaceae";"EN"
"Canistrum aurantiacum";"Bromeliaceae";"EN"
"Canistrum camacaense";"Bromeliaceae";"EN"
"Canistrum fosterianum";"Bromeliaceae";"CR"
"Canistrum guzmanioides";"Bromeliaceae";"EN"
"Canistrum montanum";"Bromeliaceae";"EN"
"Canistrum pickelii";"Bromeliaceae";"VU"
"Canistrum triangulare";"Bromeliaceae";"EN"
"Cryptanthus bromelioides";"Bromeliaceae";"EN"
"Cryptanthus capitatus";"Bromeliaceae";"EN"
"Cryptanthus coriaceus";"Bromeliaceae";"EN"
"Cryptanthus dorothyae";"Bromeliaceae";"EN"
"Cryptanthus maritimus";"Bromeliaceae";"EN"
"Cryptanthus minarum";"Bromeliaceae";"EN"
"Cryptanthus sinuosus";"Bromeliaceae";"EN"
"Cryptanthus zonatus";"Bromeliaceae";"VU"
"Deuterocohnia meziana";"Bromeliaceae";"VU"
"Dyckia agudensis";"Bromeliaceae";"CR"
"Dyckia delicata";"Bromeliaceae";"CR"
"Dyckia distachya";"Bromeliaceae";"CR"
"Dyckia fosteriana";"Bromeliaceae";"EN"
"Dyckia hatschbachii";"Bromeliaceae";"CR"
"Dyckia ibiramensis";"Bromeliaceae";"EN"
"Dyckia maritima";"Bromeliaceae";"EN"
"Dyckia martinellii";"Bromeliaceae";"CR"
"Dyckia monticola";"Bromeliaceae";"CR"
"Dyckia rariflora";"Bromeliaceae";"EN"
"Dyckia reitzii";"Bromeliaceae";"EN"
"Dyckia remotiflora";"Bromeliaceae";"EN"
"Dyckia ursina";"Bromeliaceae";"CR"
"Eduandrea selloana";"Bromeliaceae";"EN"
"Encholirium biflorum";"Bromeliaceae";"CR"
"Encholirium disjunctum";"Bromeliaceae";"CR"
"Encholirium gracile";"Bromeliaceae";"EN"
"Encholirium heloisae";"Bromeliaceae";"EN"
"Encholirium horridum";"Bromeliaceae";"EN"
"Encholirium irwinii";"Bromeliaceae";"CR"
"Encholirium kranzianum";"Bromeliaceae";"CR"
"Encholirium longiflorum";"Bromeliaceae";"CR"
"Encholirium luxor";"Bromeliaceae";"EN"
"Encholirium pedicellatum";"Bromeliaceae";"CR"
"Encholirium scrutor";"Bromeliaceae";"EN"
"Encholirium splendidum";"Bromeliaceae";"EN"
"Encholirium vogelii";"Bromeliaceae";"CR"
"Fernseea bocainensis";"Bromeliaceae";"CR"
"Fernseea itatiaiae";"Bromeliaceae";"EN"
"Guzmania monostachia";"Bromeliaceae";"VU"
"Guzmania sanguinea";"Bromeliaceae";"EN"
"Hohenbergia castellanosii";"Bromeliaceae";"EN"
"Hohenbergia correia-araujoi";"Bromeliaceae";"CR"
"Hohenbergia littoralis";"Bromeliaceae";"EN"
"Hoplocryptanthus caracensis";"Bromeliaceae";"CR"
"Hoplocryptanthus glaziovii";"Bromeliaceae";"CR"
"Karawata depressa";"Bromeliaceae";"EN"
"Karawata gustavoi";"Bromeliaceae";"CR"
"Lapanthus duartei";"Bromeliaceae";"EN"
"Lymania alvimii";"Bromeliaceae";"EN"
"Lymania azurea";"Bromeliaceae";"EN"
"Lymania brachycaulis";"Bromeliaceae";"EN"
"Lymania corallina";"Bromeliaceae";"EN"
"Lymania globosa";"Bromeliaceae";"EN"
"Lymania spiculata";"Bromeliaceae";"CR"
"Neoregelia abendrothae";"Bromeliaceae";"EN"
"Neoregelia angustibracteolata";"Bromeliaceae";"CR"
"Neoregelia bragarum";"Bromeliaceae";"EN"
"Neoregelia brownii";"Bromeliaceae";"CR"
"Neoregelia coimbrae";"Bromeliaceae";"EN"
"Neoregelia coriacea";"Bromeliaceae";"EN"
"Neoregelia eltoniana";"Bromeliaceae";"EN"
"Neoregelia fosteriana";"Bromeliaceae";"CR"
"Neoregelia hoehneana";"Bromeliaceae";"EN"
"Neoregelia indecora";"Bromeliaceae";"EN"
"Neoregelia inexspectata";"Bromeliaceae";"EN"
"Neoregelia lactea";"Bromeliaceae";"CR"
"Neoregelia leprosa";"Bromeliaceae";"VU"
"Neoregelia leucophoea";"Bromeliaceae";"EN"
"Neoregelia longipedicellata";"Bromeliaceae";"CR"
"Neoregelia macahensis";"Bromeliaceae";"EN"
"Neoregelia menescalii";"Bromeliaceae";"EN"
"Neoregelia oligantha";"Bromeliaceae";"VU"
"Neoregelia paulistana";"Bromeliaceae";"EN"
"Neoregelia pernambucana";"Bromeliaceae";"EN"
"Neoregelia petropolitana";"Bromeliaceae";"EN"
"Neoregelia roethii";"Bromeliaceae";"CR"
"Neoregelia ruschii";"Bromeliaceae";"EN"
"Neoregelia sanguinea";"Bromeliaceae";"EN"
"Neoregelia sapiatibensis";"Bromeliaceae";"EN"
"Neoregelia tenebrosa";"Bromeliaceae";"EN"
"Nidularium altimontanum";"Bromeliaceae";"CR"
"Nidularium angustifolium";"Bromeliaceae";"EN"
"Nidularium apiculatum";"Bromeliaceae";"VU"
"Nidularium atalaiaense";"Bromeliaceae";"EN"
"Nidularium azureum";"Bromeliaceae";"EN"
"Nidularium bocainense";"Bromeliaceae";"EN"
"Nidularium corallinum";"Bromeliaceae";"EN"
"Nidularium ferrugineum";"Bromeliaceae";"CR"
"Nidularium fradense";"Bromeliaceae";"EN"
"Nidularium fulgens";"Bromeliaceae";"VU"
"Nidularium itatiaiae";"Bromeliaceae";"EN"
"Nidularium jonesianum";"Bromeliaceae";"EN"
"Nidularium kautskyanum";"Bromeliaceae";"EN"
"Nidularium mangaratibense";"Bromeliaceae";"CR"
"Nidularium minutum";"Bromeliaceae";"VU"
"Nidularium rosulatum";"Bromeliaceae";"VU"
"Nidularium serratum";"Bromeliaceae";"VU"
"Nidularium utriculosum";"Bromeliaceae";"CR"
"Nidularium viridipetalum";"Bromeliaceae";"EN"
"Orthophytum duartei";"Bromeliaceae";"EN"
"Orthophytum foliosum";"Bromeliaceae";"VU"
"Orthophytum fosterianum";"Bromeliaceae";"EN"
"Orthophytum grossiorum";"Bromeliaceae";"EN"
"Orthophytum magalhaesii";"Bromeliaceae";"EN"
"Orthophytum zanonii";"Bromeliaceae";"CR"
"Pitcairnia albiflos";"Bromeliaceae";"VU"
"Pitcairnia bradei";"Bromeliaceae";"CR"
"Pitcairnia burlemarxii";"Bromeliaceae";"CR"
"Pitcairnia corcovadensis";"Bromeliaceae";"VU"
"Pitcairnia decidua";"Bromeliaceae";"EN"
"Pitcairnia encholirioides";"Bromeliaceae";"EN"
"Pitcairnia glaziovii";"Bromeliaceae";"EN"
"Pitcairnia insularis";"Bromeliaceae";"CR"
"Pitcairnia limae";"Bromeliaceae";"CR"
"Pitcairnia staminea";"Bromeliaceae";"EN"
"Pitcairnia suaveolens";"Bromeliaceae";"EN"
"Pitcairnia wendtiae";"Bromeliaceae";"CR"
"Portea alatisepala";"Bromeliaceae";"VU"
"Portea fosteriana";"Bromeliaceae";"EN"
"Portea grandiflora";"Bromeliaceae";"VU"
"Portea kermesina";"Bromeliaceae";"EN"
"Portea nana";"Bromeliaceae";"EN"
"Quesnelia kautskyi";"Bromeliaceae";"VU"
"Quesnelia lateralis";"Bromeliaceae";"VU"
"Quesnelia seideliana";"Bromeliaceae";"EN"
"Rokautskyia caulescens";"Bromeliaceae";"EN"
"Rokautskyia exaltata";"Bromeliaceae";"EN"
"Rokautskyia fernseeoides";"Bromeliaceae";"CR"
"Rokautskyia odoratissima";"Bromeliaceae";"EN"
"Rokautskyia pseudoscaposa";"Bromeliaceae";"EN"
"Rokautskyia robertokautskyi";"Bromeliaceae";"CR"
"Rokautskyia scaposa";"Bromeliaceae";"EN"
"Rokautskyia whitmanii";"Bromeliaceae";"CR"
"Sincoraea amoena";"Bromeliaceae";"EN"
"Sincoraea humilis";"Bromeliaceae";"CR"
"Stigmatodon amadoi";"Bromeliaceae";"CR"
"Stigmatodon brassicoides";"Bromeliaceae";"EN"
"Stigmatodon costae";"Bromeliaceae";"CR"
"Stigmatodon funebris";"Bromeliaceae";"EN"
"Stigmatodon goniorachis";"Bromeliaceae";"EN"
"Stigmatodon harrylutheri";"Bromeliaceae";"CR"
"Tillandsia afonsoana";"Bromeliaceae";"CR"
"Tillandsia araujei";"Bromeliaceae";"EN"
"Tillandsia brachyphylla";"Bromeliaceae";"EN"
"Tillandsia carminea";"Bromeliaceae";"EN"
"Tillandsia crocata";"Bromeliaceae";"EN"
"Tillandsia grazielae";"Bromeliaceae";"EN"
"Tillandsia heubergeri";"Bromeliaceae";"VU"
"Tillandsia jonesii";"Bromeliaceae";"CR"
"Tillandsia kautskyi";"Bromeliaceae";"VU"
"Tillandsia neglecta";"Bromeliaceae";"CR"
"Tillandsia reclinata";"Bromeliaceae";"CR"
"Tillandsia roseiflora";"Bromeliaceae";"EN"
"Tillandsia sucrei";"Bromeliaceae";"CR"
"Tillandsia xiphioides";"Bromeliaceae";"EN"
"Vriesea agostiniana";"Bromeliaceae";"EN"
"Vriesea altimontana";"Bromeliaceae";"EN"
"Vriesea altomacaensis";"Bromeliaceae";"VU"
"Vriesea amethystina";"Bromeliaceae";"CR"
"Vriesea arachnoidea";"Bromeliaceae";"EN"
"Vriesea biguassuensis";"Bromeliaceae";"EN"
"Vriesea bleherae";"Bromeliaceae";"CR"
"Vriesea botafogensis";"Bromeliaceae";"EN"
"Vriesea cacuminis";"Bromeliaceae";"EN"
"Vriesea calimaniana";"Bromeliaceae";"CR"
"Vriesea cearensis";"Bromeliaceae";"EN"
"Vriesea delicatula";"Bromeliaceae";"VU"
"Vriesea diamantinensis";"Bromeliaceae";"EN"
"Vriesea eltoniana";"Bromeliaceae";"EN"
"Vriesea fluminensis";"Bromeliaceae";"EN"
"Vriesea fontourae";"Bromeliaceae";"CR"
"Vriesea fradensis";"Bromeliaceae";"CR"
"Vriesea garlippiana";"Bromeliaceae";"EN"
"Vriesea gracilior";"Bromeliaceae";"VU"
"Vriesea kautskyana";"Bromeliaceae";"VU"
"Vriesea leptantha";"Bromeliaceae";"CR"
"Vriesea longistaminea";"Bromeliaceae";"CR"
"Vriesea menescalii";"Bromeliaceae";"EN"
"Vriesea minarum";"Bromeliaceae";"EN"
"Vriesea nubicola";"Bromeliaceae";"CR"
"Vriesea pastuchoffiana";"Bromeliaceae";"EN"
"Vriesea penduliflora";"Bromeliaceae";"EN"
"Vriesea pinottii";"Bromeliaceae";"EN"
"Vriesea racinae";"Bromeliaceae";"EN"
"Vriesea rubyae";"Bromeliaceae";"EN"
"Vriesea saundersii";"Bromeliaceae";"EN"
"Vriesea saxicola";"Bromeliaceae";"EN"
"Vriesea sazimae";"Bromeliaceae";"VU"
"Vriesea sucrei";"Bromeliaceae";"EN"
"Vriesea teresopolitana";"Bromeliaceae";"CR"
"Vriesea thyrsoidea";"Bromeliaceae";"EN"
"Vriesea vidalii";"Bromeliaceae";"VU"
"Vriesea warmingii";"Bromeliaceae";"EN"
"Vriesea wawranea";"Bromeliaceae";"EN"
"Vriesea weberi";"Bromeliaceae";"CR"
"Vriesea zildae";"Bromeliaceae";"VU"
"Wittrockia superba";"Bromeliaceae";"EN"
"Pringleella subulata";"Bruchiaceae";"EN"
"Bursera pereirae";"Burseraceae";"EN"
"Bursera simaruba";"Burseraceae";"VU"
"Dacryodes edilsonii";"Burseraceae";"EN"
"Protium bahianum";"Burseraceae";"EN"
"Protium breviacuminatum";"Burseraceae";"EN"
"Protium catuaba";"Burseraceae";"VU"
"Protium giganteum var. crassifolium";"Burseraceae";"VU"
"Protium glaziovii";"Burseraceae";"EN"
"Protium icicariba var. talmonii";"Burseraceae";"EN"
"Protium inodorum";"Burseraceae";"EN"
"Protium occhionii";"Burseraceae";"EN"
"Trattinnickia ferruginea";"Burseraceae";"EN"
"Trattinnickia mensalis";"Burseraceae";"EN"
"Arrojadoa bahiensis";"Cactaceae";"EN"
"Arrojadoa eriocaulis";"Cactaceae";"EN"
"Arthrocereus glaziovii";"Cactaceae";"EN"
"Arthrocereus melanurus subsp. melanurus";"Cactaceae";"EN"
"Arthrocereus melanurus subsp. magnus";"Cactaceae";"EN"
"Arthrocereus melanurus subsp. odorus";"Cactaceae";"EN"
"Arthrocereus rondonianus";"Cactaceae";"EN"
"Brasilicereus markgrafii";"Cactaceae";"EN"
"Cereus mirabella";"Cactaceae";"VU"
"Cipocereus bradei";"Cactaceae";"VU"
"Cipocereus crassisepalus";"Cactaceae";"EN"
"Cipocereus laniflorus";"Cactaceae";"EN"
"Cipocereus minensis";"Cactaceae";"VU"
"Cipocereus pusilliflorus";"Cactaceae";"CR"
"Coleocephalocereus buxbaumianus subsp. flavisetus";"Cactaceae";"VU"
"Coleocephalocereus purpureus";"Cactaceae";"EN"
"Discocactus bahiensis";"Cactaceae";"VU"
"Discocactus catingicola";"Cactaceae";"VU"
"Discocactus horstii";"Cactaceae";"CR"
"Discocactus pseudoinsignis";"Cactaceae";"CR"
"Discocactus zehntneri";"Cactaceae";"VU"
"Echinopsis calochlora";"Cactaceae";"CR"
"Echinopsis oxygona";"Cactaceae";"EN"
"Espostoopsis dybowskii";"Cactaceae";"EN"
"Facheiroa cephaliomelana";"Cactaceae";"EN"
"Facheiroa cephaliomelana subsp. estevesii";"Cactaceae";"EN"
"Facheiroa ulei";"Cactaceae";"EN"
"Frailea buenekeri";"Cactaceae";"EN"
"Frailea castanea";"Cactaceae";"EN"
"Frailea mammifera";"Cactaceae";"CR"
"Frailea phaeodisca";"Cactaceae";"EN"
"Frailea pumila";"Cactaceae";"VU"
"Frailea pygmaea";"Cactaceae";"VU"
"Gymnocalycium denudatum";"Cactaceae";"EN"
"Hatiora herminiae";"Cactaceae";"VU"
"Melocactus azureus";"Cactaceae";"EN"
"Melocactus conoideus";"Cactaceae";"CR"
"Melocactus deinacanthus";"Cactaceae";"CR"
"Melocactus ferreophilus";"Cactaceae";"EN"
"Melocactus glaucescens";"Cactaceae";"EN"
"Melocactus lanssensianus";"Cactaceae";"EN"
"Melocactus pachyacanthus";"Cactaceae";"EN"
"Melocactus paucispinus";"Cactaceae";"VU"
"Melocactus violaceus";"Cactaceae";"VU"
"Melocactus violaceus subsp. ritteri";"Cactaceae";"EN"
"Micranthocereus albicephalus";"Cactaceae";"EN"
"Micranthocereus auriazureus";"Cactaceae";"EN"
"Micranthocereus dolichospermaticus";"Cactaceae";"EN"
"Micranthocereus polyanthus";"Cactaceae";"EN"
"Micranthocereus streckeri";"Cactaceae";"CR"
"Micranthocereus violaciflorus";"Cactaceae";"EN"
"Parodia concinna";"Cactaceae";"EN"
"Parodia crassigibba";"Cactaceae";"EN"
"Parodia erinacea";"Cactaceae";"EN"
"Parodia mammulosa";"Cactaceae";"EN"
"Parodia oxycostata";"Cactaceae";"VU"
"Parodia rechensis";"Cactaceae";"CR"
"Parodia scopa";"Cactaceae";"EN"
"Pereskia aureiflora";"Cactaceae";"VU"
"Pilosocereus aurisetus subsp. aurilanatus";"Cactaceae";"EN"
"Pilosocereus azulensis";"Cactaceae";"CR"
"Pilosocereus floccosus subsp. quadricostatus";"Cactaceae";"EN"
"Pilosocereus fulvilanatus";"Cactaceae";"EN"
"Pilosocereus glaucochrous";"Cactaceae";"VU"
"Pilosocereus magnificus";"Cactaceae";"EN"
"Pilosocereus multicostatus";"Cactaceae";"EN"
"Pilosocereus ulei";"Cactaceae";"EN"
"Rhipsalis agudoensis";"Cactaceae";"EN"
"Rhipsalis cereoides";"Cactaceae";"CR"
"Rhipsalis flagelliformis";"Cactaceae";"EN"
"Rhipsalis mesembryanthemoides";"Cactaceae";"EN"
"Rhipsalis ormindoi";"Cactaceae";"VU"
"Rhipsalis pacheco-leonis";"Cactaceae";"EN"
"Rhipsalis paradoxa subsp. septentrionalis";"Cactaceae";"EN"
"Rhipsalis pentaptera";"Cactaceae";"CR"
"Rhipsalis triangularis";"Cactaceae";"EN"
"Schlumbergera kautskyi";"Cactaceae";"EN"
"Schlumbergera microsphaerica";"Cactaceae";"VU"
"Schlumbergera opuntioides";"Cactaceae";"VU"
"Schlumbergera russelliana";"Cactaceae";"EN"
"Tacinga braunii";"Cactaceae";"VU"
"Uebelmannia buiningii";"Cactaceae";"CR"
"Uebelmannia gummifera";"Cactaceae";"VU"
"Uebelmannia pectinifera";"Cactaceae";"EN"
"Caraipa balbinensis";"Calophyllaceae";"CR"
"Caraipa rodriguesii";"Calophyllaceae";"VU"
"Kielmeyera albopunctata";"Calophyllaceae";"VU"
"Kielmeyera aureovinosa";"Calophyllaceae";"EN"
"Kielmeyera bifaria";"Calophyllaceae";"EN"
"Kielmeyera decipiens";"Calophyllaceae";"CR"
"Kielmeyera elata";"Calophyllaceae";"EN"
"Kielmeyera excelsa";"Calophyllaceae";"VU"
"Kielmeyera fatimae";"Calophyllaceae";"EN"
"Kielmeyera ferruginosa";"Calophyllaceae";"CR"
"Kielmeyera gracilis";"Calophyllaceae";"EN"
"Kielmeyera insignis";"Calophyllaceae";"EN"
"Kielmeyera itacarensis";"Calophyllaceae";"EN"
"Kielmeyera marauensis";"Calophyllaceae";"EN"
"Kielmeyera occhioniana";"Calophyllaceae";"EN"
"Kielmeyera rizziniana";"Calophyllaceae";"EN"
"Kielmeyera rufotomentosa";"Calophyllaceae";"EN"
"Kielmeyera rupestris";"Calophyllaceae";"CR"
"Kielmeyera sigillata";"Calophyllaceae";"CR"
"Boopis bupleuroides";"Calyceraceae";"EN"
"Boopis itatiaiae";"Calyceraceae";"EN"
"Lobelia hilaireana";"Campanulaceae";"EN"
"Lobelia langeana";"Campanulaceae";"EN"
"Lobelia santos-limae";"Campanulaceae";"CR"
"Cinnamodendron axillare";"Canellaceae";"EN"
"Cinnamodendron occhionianum";"Canellaceae";"CR"
"Celtis orthacanthos";"Cannabaceae";"EN"
"Colicodendron bahianum";"Capparaceae";"VU"
"Neocalyptrocalyx nectareus";"Capparaceae";"EN"
"Valeriana glaziovii Taub.";"Caprifoliaceae";"EN"
"Valeriana glechomifolia";"Caprifoliaceae";"EN"
"Valeriana organensis";"Caprifoliaceae";"CR"
"Valeriana reitziana Borsini";"Caprifoliaceae";"VU"
"Valeriana tajuvensis";"Caprifoliaceae";"VU"
"Citronella engleriana";"Cardiopteridaceae";"EN"
"Monteverdia acanthophylla";"Celastraceae";"VU"
"Monteverdia chapadensis";"Celastraceae";"EN"
"Monteverdia fugax";"Celastraceae";"EN"
"Monteverdia horrida";"Celastraceae";"EN"
"Monteverdia longifolia";"Celastraceae";"VU"
"Monteverdia megalocarpa";"Celastraceae";"EN"
"Monteverdia psammophila";"Celastraceae";"EN"
"Monteverdia rupestris";"Celastraceae";"VU"
"Monteverdia samydiformis";"Celastraceae";"CR"
"Peritassa longifolia";"Celastraceae";"VU"
"Peritassa sadleri";"Celastraceae";"CR"
"Salacia mosenii";"Celastraceae";"CR"
"Tontelea corcovadensis";"Celastraceae";"EN"
"Tontelea lanceolata";"Celastraceae";"EN"
"Tontelea martiana";"Celastraceae";"EN"
"Couepia belemii";"Chrysobalanaceae";"EN"
"Couepia bondarii";"Chrysobalanaceae";"EN"
"Couepia carautae";"Chrysobalanaceae";"CR"
